11.077,5.387,4.063
10.896,5.470,4.109
10.707,5.535,4.202
10.513,5.584,4.306
10.316,5.617,4.427
10.118,5.636,4.555
9.918,5.642,4.688
9.718,5.636,4.827
9.519,5.619,4.971
9.321,5.591,5.119
9.125,5.555,5.274
8.930,5.511,5.436
8.737,5.460,5.609
8.545,5.404,5.792
8.355,5.343,5.970
8.166,5.280,6.142
7.977,5.214,6.309
7.788,5.148,6.472
7.600,5.083,6.253
7.410,5.020,6.049
7.219,4.961,5.876
7.027,4.908,5.735
6.832,4.861,5.621
6.636,4.824,5.541
6.438,4.796,5.493
6.239,4.779,5.491
6.040,4.776,5.488
5.840,4.785,5.500
5.641,4.806,5.553
5.444,4.836,5.644
5.248,4.873,5.769
5.053,4.917,5.928
4.859,4.966,6.101
4.666,5.017,6.270
4.473,5.070,6.189
4.280,5.122,5.915
4.087,5.172,5.670
3.893,5.219,5.449
3.697,5.261,5.250
3.501,5.296,5.068
3.303,5.322,4.901
3.104,5.339,4.747
2.904,5.345,4.603
2.705,5.338,4.470
2.506,5.318,4.347
2.309,5.281,4.231
2.117,5.229,4.122
1.930,5.159,4.028
1.750,5.071,3.959
1.582,4.964,3.931
1.428,4.837,3.929
1.292,4.691,3.928
1.174,4.530,3.955
1.074,4.357,4.016
0.993,4.174,4.102
0.930,3.985,4.206
0.882,3.791,4.315
0.851,3.594,4.426
0.837,3.394,4.496
0.839,3.195,4.562
0.858,2.996,4.630
0.891,2.799,4.707
0.939,2.605,4.775
1.001,2.415,4.845
1.076,2.230,4.910
1.165,2.051,4.973
1.265,1.878,5.030
1.376,1.712,5.083
1.498,1.554,5.146
1.629,1.403,5.237
1.769,1.260,5.307
1.916,1.126,5.375
2.071,0.999,5.452
2.232,0.881,5.530
2.399,0.771,5.612
2.570,0.669,5.695
2.747,0.575,5.779
2.927,0.490,5.865
3.111,0.411,5.954
3.298,0.341,6.046
3.487,0.277,6.142
3.679,0.221,6.240
3.872,0.171,6.343
4.067,0.127,6.449
4.263,0.089,6.560
4.460,0.057,6.675
4.658,0.030,6.796
4.857,0.007,6.923
5.056,-0.011,7.056
5.255,-0.025,7.196
5.454,-0.035,7.338
5.654,-0.043,7.478
5.854,-0.048,7.615
6.054,-0.052,7.749
6.253,-0.053,7.881
6.453,-0.053,8.011
6.653,-0.051,7.992
6.853,-0.046,7.843
7.052,-0.039,7.695
7.252,-0.029,7.552
7.451,-0.015,7.416
7.650,0.002,7.284
7.849,0.023,7.159
8.047,0.048,7.040
8.244,0.078,6.925
8.441,0.113,6.812
8.637,0.153,6.704
8.831,0.199,6.602
9.024,0.251,6.502
9.215,0.309,6.403
9.404,0.373,6.307
9.591,0.444,6.214
9.775,0.522,6.123
9.956,0.607,6.035
10.133,0.700,5.950
10.306,0.799,5.865
10.475,0.906,5.781
10.638,1.021,5.707
10.796,1.144,5.638
10.947,1.274,5.568
11.091,1.412,5.499
11.228,1.558,5.432
11.357,1.711,5.369
11.476,1.871,5.306
11.586,2.038,5.237
11.686,2.211,5.164
11.775,2.389,5.086
11.853,2.573,5.005
11.919,2.762,4.920
11.973,2.954,4.832
12.014,3.150,4.741
12.041,3.348,4.650
12.053,3.547,4.558
12.050,3.747,4.466
12.032,3.945,4.380
11.996,4.142,4.296
11.943,4.335,4.224
11.872,4.521,4.159
11.783,4.700,4.111
11.675,4.868,4.085
11.549,5.023,4.063
11.407,5.163,4.062
11.249,5.285,4.060
