#x_m,y_m,w_tr_right_m,w_tr_left_m
10.809999999999999,5.210000000000001,1.71,0.12426406871192852
10.78,5.18,1.74,0.10024992192379002
10.719999999999999,5.18,1.74,0.11785164831552357
10.69,5.15,1.77,0.10249223594996217
10.629999999999999,5.15,1.77,0.1326661530556787
10.569999999999999,5.09,1.8299999999999998,0.12426406871192852
10.54,5.09,1.8299999999999998,0.1454772721475249
10.45,5.0,1.9208106627986095,0.1579301256742124
10.45,4.970000000000001,1.9507998578283232,0.142944691807002
10.389999999999999,4.91,2.013114783144148,0.16957427527495586
10.389999999999999,4.880000000000001,2.043074902771996,0.15694638635183453
10.33,4.82,2.1067405344157897,0.19477267507411927
10.33,4.789999999999999,2.136657546722559,0.18836461788299116
10.299999999999999,4.76,2.168947144027186,0.2135172830587107
10.299999999999999,4.640000000000001,2.2885324027332556,0.21
10.27,4.609999999999999,2.3210112552219226,0.24
10.27,4.58,2.3508866441249427,0.24
10.239999999999998,4.549999999999999,2.383616962235855,0.26044625076808214
10.239999999999998,4.49,2.443319157517039,0.24744862772683976
10.209999999999999,4.459999999999999,2.4762564723022256,0.27314919523628395
10.209999999999999,4.43,2.5060826787534256,0.2692099788303083
10.18,4.4,2.5392428568194023,0.28940648113165496
10.18,4.309999999999999,2.6286515668477874,0.27314919523628395
10.149999999999999,4.279999999999999,2.6619588113273958,0.3007495318350236
10.149999999999999,4.1899999999999995,2.751311193569086,0.3
10.12,4.16,2.78475282640279,0.32999999999999996
10.12,4.129999999999999,2.814514408378937,0.32999999999999996
10.059999999999999,4.07,2.880565987367657,0.32999999999999996
8.979999999999999,4.07,2.6396938616121233,0.3
8.95,4.039999999999999,2.6252692183797373,0.27
8.77,4.039999999999999,2.463910273507445,0.27
8.74,4.01,2.45118156434649,0.24
8.559999999999999,4.01,2.293568969586118,0.24
8.53,3.98,2.282789190003706,0.21
8.35,3.98,2.1298148077579904,0.21
8.319999999999999,3.9499999999999997,2.121280652877729,0.18
8.11,3.9499999999999997,1.95,0.18
