#x_m,y_m,w_tr_right_m,w_tr_left_m
10.719999999999999,6.02,0.8999999999999999,0.9391125856838028
10.69,5.99,0.9299999999999999,0.9134249049694011
10.479999999999999,5.99,0.9303657992645926,0.9617844506887854
10.45,5.959999999999999,0.9614277624977183,0.9431009613060396
10.27,5.959999999999999,0.9826534995859169,1.0148764200486675
10.239999999999998,5.93,1.0179529581893279,1.0024976007655446
10.18,5.93,1.02,1.0325539388707685
10.149999999999999,5.9,1.05,1.0230646242719967
10.059999999999999,5.9,1.051332675546625,1.0741178988718543
10.03,5.869999999999999,1.0829316685939332,1.0682105101189654
9.94,5.869999999999999,1.0916896205691842,1.1252368224263642
9.91,5.84,1.1255525244620066,1.1227086841655252
9.879999999999999,5.84,1.130279692927226,1.1431216164966833
9.85,5.8100000000000005,1.1650938536489734,1.142497833620557
9.819999999999999,5.8100000000000005,1.1598630072715725,1.1637110370561534
9.79,5.779999999999999,1.1849242404917497,1.1638647478507023
9.76,5.779999999999999,1.180979405663698,1.1855302083767936
9.729999999999999,5.75,1.2074813431681335,1.1873466307488647
9.7,5.75,1.2047923444781343,1.2098675438593942
9.67,5.720000000000001,1.232644772933376,1.2134397906755328
9.61,5.720000000000001,1.2302940893828218,1.2602884348735013
9.58,5.6899999999999995,1.26,1.2660459763365823
9.549999999999999,5.6899999999999995,1.26,1.2902829936838285
9.52,5.66,1.29,1.2976232346833216
9.489999999999998,5.66,1.29,1.322498073958795
9.43,5.6,1.3499999999999999,1.3412495239907916
9.399999999999999,5.6,1.3499999999999999,1.3670932787339765
9.37,5.57,1.38,1.3783920876839237
9.34,5.57,1.38,1.4047287174210445
9.28,5.51,1.44,1.4309246084101988
9.25,5.51,1.44,1.4577542490348303
9.19,5.449999999999999,1.5,1.4851890656174207
9.16,5.449999999999999,1.5,1.5124568960391858
9.1,5.390000000000001,1.56,1.543963123275517
9.01,5.390000000000001,1.56,1.6199999999999999
8.979999999999999,5.359999999999999,1.5899999999999999,1.5899999999999999
8.59,5.359999999999999,1.5959430371189953,1.5899999999999999
8.559999999999999,5.390000000000001,1.5686893802876922,1.6199999999999999
8.26,5.390000000000001,1.5899999999999999,1.6199999999999999
8.02,5.15,1.397056274847714,1.38
7.99,5.15,1.3673631877908303,1.38
7.869999999999999,5.029999999999999,1.2717824276915684,1.26
7.84,5.029999999999999,1.242595215861893,1.26
7.719999999999999,4.91,1.1610954794263104,1.14
7.6899999999999995,4.91,1.1327944723511463,1.14
7.629999999999999,4.85,1.0945967159003351,1.08
7.6,4.85,1.066235704408284,1.08
7.539999999999999,4.789999999999999,1.0315404612703287,1.02
7.51,4.789999999999999,1.0038788287260438,1.02
7.449999999999999,4.73,0.97455874717488,0.96
7.42,4.73,0.9477980605851253,0.96
7.359999999999999,4.67,0.924499897917513,0.8999999999999999
7.33,4.67,0.8988744721612851,0.8999999999999999
7.299999999999999,4.640000000000001,0.8898319209031164,0.87
7.27,4.640000000000001,0.8649892703368559,0.87
7.24,4.609999999999999,0.8580155439371269,0.84
7.209999999999999,4.609999999999999,0.8340634902861479,0.84
7.18,4.58,0.8292918134831226,0.8099999999999999
7.119999999999999,4.58,0.7837435120913064,0.8099999999999999
7.09,4.549999999999999,0.7820813278122859,0.78
7.059999999999999,4.549999999999999,0.7606601717798213,0.78
7.029999999999999,4.52,0.7615083607772479,0.75
6.969999999999999,4.52,0.7217631819555841,0.75
6.9399999999999995,4.49,0.7261578825892243,0.72
6.879999999999999,4.49,0.6904544411531506,0.72
6.85,4.459999999999999,0.6985990186255943,0.69
6.76,4.459999999999999,0.6529428104561154,0.69
6.729999999999999,4.43,0.666074531286277,0.6599999999999999
6.639999999999999,4.43,0.6261209424259878,0.6599999999999999
6.609999999999999,4.4,0.6415412895885129,0.63
6.49,4.4,0.6024965373894794,0.6377099764852671
6.459999999999999,4.369999999999999,0.6241753080449618,0.612414379544733
6.309999999999999,4.369999999999999,0.6019977827023745,0.63
6.279999999999999,4.34,0.6304837451562494,0.6
6.129999999999999,4.34,0.6304837451562494,0.6
6.1,4.369999999999999,0.6019977827023745,0.63
5.859999999999999,4.369999999999999,0.6486832980505137,0.63
5.83,4.4,0.6304837451562494,0.6599999999999999
5.709999999999999,4.4,0.6794896630388705,0.6599999999999999
5.68,4.43,0.666074531286277,0.69
5.59,4.43,0.7084641788382966,0.69
5.559999999999999,4.459999999999999,0.6985990186255943,0.72
5.5,4.459999999999999,0.7322790320451151,0.72
5.469999999999999,4.49,0.7261578825892243,0.7504284840006958
5.379999999999999,4.49,0.7837435120913064,0.7568348972285122
5.35,4.52,0.7820813278122859,0.7903669107231748
5.289999999999999,4.52,0.8242997820866105,0.800227249253535
5.26,4.549999999999999,0.8242997820866105,0.8356495938448619
5.199999999999999,4.549999999999999,0.8669190203266034,0.84
5.17,4.58,0.8684605256490269,0.87
5.139999999999999,4.58,0.8909659944767524,0.87
5.109999999999999,4.609999999999999,0.8947384651043926,0.8999999999999999
5.08,4.609999999999999,0.9182364302548172,0.8999999999999999
5.049999999999999,4.640000000000001,0.9241323457861899,0.9299999999999999
5.02,4.640000000000001,0.9485191228010887,0.9299999999999999
4.99,4.67,0.9564234954823154,0.96
4.959999999999999,4.67,0.9816005617976296,0.96
4.9,4.73,1.0024976007655446,1.02
4.869999999999999,4.73,1.0288340754210061,1.02
4.84,4.76,1.0416407864998738,1.05
4.809999999999999,4.76,1.0685393673548451,1.05
4.75,4.82,1.0955644019535609,1.1099999999999999
4.719999999999999,4.82,1.1227086841655252,1.1099999999999999
