#x_m,y_m,w_tr_right_m,w_tr_left_m
9.76,6.83,0.15,2.0224340679554285
9.729999999999999,6.800000000000001,0.1743416490252569,2.0107790893982056
9.58,6.800000000000001,0.15,2.088346708499417
9.549999999999999,6.77,0.18,2.0796638418062328
9.34,6.77,0.18,2.2022589794024117
9.309999999999999,6.74,0.21,2.1972184525988108
9.1,6.74,0.21,2.333514761682569
9.069999999999999,6.709999999999999,0.24,2.331805463935357
8.86,6.709999999999999,0.24,2.4790106153089804
8.83,6.68,0.27,2.4796582523756405
8.469999999999999,6.68,0.3,2.7501311447214856
8.44,6.65,0.32999999999999996,2.754848605086674
7.27,6.65,0.32999999999999996,2.88
7.24,6.619999999999999,0.36,2.85
7.0,6.619999999999999,0.32999999999999996,2.85
6.9399999999999995,6.5600000000000005,0.3067124524847005,2.79
6.9399999999999995,6.529999999999999,0.31188234163113415,2.76
6.91,6.5,0.28940648113165496,2.73
6.91,6.41,0.3,2.6399999999999997
6.879999999999999,6.380000000000001,0.27,2.61
6.879999999999999,6.26,0.27,2.4899999999999998
6.85,6.23,0.24,2.46
6.85,6.109999999999999,0.24,2.34
6.82,6.08,0.21088159097779208,2.31
6.82,6.050000000000001,0.2135172830587107,2.28
6.789999999999999,6.02,0.18836461788299116,2.25
6.789999999999999,5.959999999999999,0.2028916384272063,2.19
6.76,5.93,0.18,2.16
6.76,5.84,0.18,2.07
6.729999999999999,5.8100000000000005,0.15,2.04
6.729999999999999,5.449999999999999,0.09458839313897716,1.68
6.699999999999999,5.42,0.06124783736376887,1.65
6.699999999999999,5.300000000000001,0.07107950630558943,1.53
6.67,5.27,0.05114099732158877,1.5
6.67,5.24,0.06249137920783717,1.47
6.639999999999999,5.210000000000001,0.04205262752974137,1.44
6.639999999999999,5.18,0.05114099732158877,1.41
6.49,5.029999999999999,0.02449961479175906,1.2646085772486357
6.459999999999999,5.029999999999999,0.008868904229610024,1.2671949463930772
6.43,5.0,0.023109888428070224,1.240551849176132
6.399999999999999,5.0,0.008868904229610024,1.2443445211480502
6.369999999999999,4.970000000000001,0.023109888428070224,1.2190786681406596
6.279999999999999,4.970000000000001,0.0014962686336266982,1.23
6.25,4.9399999999999995,0.03,1.2
6.16,4.9399999999999995,0.03,1.2
6.129999999999999,4.970000000000001,0.0014962686336266982,1.23
6.039999999999999,4.970000000000001,0.023109888428070224,1.23
6.01,5.0,0.008868904229610024,1.26
5.979999999999999,5.0,0.023109888428070224,1.26
5.949999999999999,5.029999999999999,0.008868904229610024,1.29
5.92,5.029999999999999,0.02449961479175906,1.29
5.859999999999999,5.09,0.018198051533946397,1.3499999999999999
5.83,5.09,0.039411254969542835,1.3499999999999999
5.709999999999999,5.210000000000001,0.06249137920783717,1.47
5.709999999999999,5.24,0.04985711369071804,1.5
5.649999999999999,5.300000000000001,0.07947331922020553,1.56
