194,110
193,111
190,111
189,112
169,112
168,111
162,111
161,112
160,112
159,113
124,113
123,112
112,112
111,111
107,111
105,113
105,162
104,163
104,178
103,179
103,202
102,203
102,250
103,251
103,307
104,308
104,342
105,343
112,343
113,342
126,342
127,341
151,341
152,340
169,340
170,339
199,339
200,340
213,340
214,341
218,341
219,342
230,342
231,341
253,341
254,340
267,340
268,339
272,339
273,338
279,338
280,339
302,339
303,338
307,338
308,337
317,337
318,338
353,338
354,339
398,339
399,338
450,338
451,339
464,339
465,338
482,338
483,339
490,339
491,338
506,338
507,337
510,337
511,338
529,338
530,339
559,339
560,340
576,340
577,341
650,341
650,321
651,320
651,276
652,275
652,253
653,252
653,244
654,243
654,237
655,236
655,232
656,231
656,230
657,229
657,228
658,227
658,118
657,117
652,117
651,116
630,116
629,115
610,115
609,114
579,114
578,113
530,113
529,112
507,112
506,111
494,111
493,110
491,110
490,111
448,111
447,110
406,110
405,111
393,111
391,113
391,122
390,123
390,140
389,141
389,144
390,145
390,150
391,151
391,162
390,163
390,165
389,166
389,167
388,168
388,169
383,174
382,174
381,175
380,175
379,176
378,176
377,177
364,177
363,176
362,176
361,175
360,175
359,174
358,174
350,166
350,165
349,164
349,163
348,162
348,158
347,157
347,149
346,148
346,138
347,137
347,113
297,113
296,114
289,114
288,115
238,115
237,114
232,114
231,113
222,113
221,112
211,112
210,111
204,111
203,110
