#x_m,y_m,w_tr_right_m,w_tr_left_m
-2.38,4.47,0.7920164833920778,0.8629703349613008
-2.4300000000000006,4.420000000000001,0.8543396380615196,0.8412712210513327
-2.63,4.420000000000001,0.8884864324004713,0.9500000000000001
-2.6800000000000006,4.37,0.9500000000000001,0.9419742348374222
-2.83,4.37,0.9747548783981963,1.0435028842544403
-2.8800000000000003,4.32,1.0341664064126335,1.045362404707371
-2.9800000000000004,4.32,1.0583077707206126,1.1212670403551896
-3.0300000000000002,4.2700000000000005,1.114213562373095,1.1300349646075092
-3.08,4.2700000000000005,1.1221462653327892,1.1705441169852742
-3.1300000000000003,4.220000000000001,1.180709289496085,1.184082207965583
-3.18,4.220000000000001,1.19164338901763,1.2264337522473747
-3.2300000000000004,4.170000000000001,1.25,1.2443445211480502
-3.2800000000000002,4.170000000000001,1.25,1.288238017426859
-3.33,4.12,1.3,1.3101242188104618
-3.3800000000000003,4.12,1.3007810593582123,1.3552945357246848
-3.5300000000000002,3.9700000000000006,1.4613914953808536,1.4392527130926087
-3.58,3.9700000000000006,1.467766952966369,1.4867568385205638
-3.6300000000000003,3.920000000000001,1.524828759089466,1.5200274723201297
-3.68,3.920000000000001,1.533712082089225,1.5681541692269407
-3.7800000000000002,3.8200000000000003,1.6525624189766637,1.64164878389476
-3.83,3.8200000000000003,1.66468827043885,1.6906029237394382
-3.83,3.7200000000000006,1.7223748416156686,1.672941965694886
-3.8800000000000003,3.670000000000001,1.6811612756158951,1.7155644370746375
-3.8800000000000003,3.3200000000000003,1.7223748416156686,1.7000000000000002
-3.93,3.2700000000000005,1.6811612756158951,1.75
-3.93,3.0200000000000005,1.709975124224178,1.667866865415443
-3.9800000000000004,2.9700000000000006,1.6659603251337503,1.6906029237394382
-3.9800000000000004,2.87,1.6811612756158951,1.6500000000000001
-4.03,2.8200000000000003,1.64164878389476,1.6780040444852482
-4.03,2.670000000000001,1.660229578391266,1.6300259065618783
-4.08,2.62,1.61637678967368,1.66468827043885
-4.08,2.3200000000000003,1.660229578391266,1.61049731745428
-4.130000000000001,2.2700000000000005,1.61637678967368,1.6525624189766637
-4.130000000000001,2.0200000000000005,1.6525624189766637,1.61049731745428
-4.18,1.9700000000000006,1.605911855254592,1.6557607215607946
-4.18,1.62,1.6525624189766637,1.6039432764659773
-4.23,1.5700000000000003,1.605911855254592,1.64164878389476
-4.23,1.3200000000000003,1.64164878389476,1.59274932307477
-4.28,1.2700000000000005,1.6026297590440448,1.6319679086361658
-4.28,0.9700000000000006,1.64164878389476,1.6006577808748212
-4.33,0.9199999999999999,1.6006577808748212,1.6500000000000001
-4.33,0.6699999999999999,1.6235384061671345,1.6500000000000001
-4.28,0.6200000000000001,1.672941965694886,1.6
-4.28,0.5700000000000003,1.6235384061671345,1.6
-4.23,0.5200000000000005,1.5828170383762732,1.55
-4.23,0.47000000000000064,1.533712082089225,1.5506755523321747
-3.7800000000000002,0.020000000000000462,1.1637281168304447,1.1866068747318506
-3.7300000000000004,0.020000000000000462,1.171393896956216,1.139618004888797
-3.5300000000000002,-0.17999999999999972,1.00862523283024,1.041640786499874
-3.4800000000000004,-0.17999999999999972,1.0152946437965906,0.9971121771072847
-3.3800000000000003,-0.2799999999999998,0.9369316876852981,0.9619429464123963
-3.33,-0.2799999999999998,0.9500000000000001,0.9206555615733703
-3.2300000000000004,-0.3799999999999999,0.8597413504743202,0.9041594578792296
-3.18,-0.3799999999999999,0.8672617529928752,0.8672617529928752
-3.1300000000000003,-0.4299999999999997,0.8280514172678478,0.8667261889578035
-3.08,-0.4299999999999997,0.840175425099138,0.8313708498984762
-3.0300000000000002,-0.47999999999999954,0.801135777277262,0.8313708498984762
-2.9800000000000004,-0.47999999999999954,0.8045361017187261,0.7960155108391487
-2.93,-0.5299999999999998,0.7606601717798214,0.7965856099730655
-2.8800000000000003,-0.5299999999999998,0.7688779163215975,0.763014581273465
-2.83,-0.5799999999999996,0.7307764064044152,0.7700467279516348
-2.7800000000000002,-0.5799999999999996,0.7440306508910551,0.7404326023342407
-2.7300000000000004,-0.6299999999999999,0.7111874208078343,0.7547511554864494
-2.63,-0.6299999999999999,0.7307764064044152,0.7062305898749055
-2.58,-0.6799999999999997,0.6962429422585639,0.7295630140987002
-2.38,-0.6799999999999997,0.704987562112089,0.6486832980505138
-2.33,-0.7299999999999995,0.6617692030835672,0.682344135219425
-2.0300000000000002,-0.7299999999999995,0.7111874208078343,0.65
-1.9800000000000004,-0.7799999999999998,0.67082439194738,0.7000000000000001
-1.5300000000000002,-0.7799999999999998,0.7000000000000001,0.612414379544733
-1.4800000000000004,-0.8299999999999996,0.65,0.65524865872714
-0.03000000000000025,-0.8299999999999996,0.810180165558726,0.818033988749895
0.019999999999999574,-0.7799999999999998,0.8672617529928752,0.7977249200050075
0.21999999999999975,-0.7799999999999998,0.9041594578792296,0.9103718436910205
0.2699999999999996,-0.7299999999999995,0.9589678312014173,0.9041594578792296
0.3700000000000001,-0.7299999999999995,0.9747548783981963,0.9727922061357855
0.41999999999999993,-0.6799999999999997,1.0341664064126335,0.9747548783981963
0.5199999999999996,-0.6799999999999997,1.0509256086106296,1.0509256086106296
0.5700000000000003,-0.6299999999999999,1.1035668847618199,1.0601470508735444
0.6200000000000001,-0.6299999999999999,1.1080127840328724,1.10089257261219
0.6699999999999999,-0.5799999999999996,1.1637281168304447,1.1150971698084906
0.7699999999999996,-0.5799999999999996,1.180709289496085,1.2008331019803635
0.8200000000000003,-0.5299999999999998,1.2402921800749365,1.220690632574555
