97,81
96,82
94,82
93,83
93,95
92,96
92,101
91,102
91,105
87,109
87,114
86,115
86,122
85,123
85,127
84,128
84,132
83,133
83,145
84,146
84,147
88,151
89,151
90,152
91,152
92,153
100,153
101,154
105,154
106,155
123,155
124,154
125,154
126,153
127,153
127,152
128,151
128,150
129,149
129,148
130,147
130,134
131,133
131,128
132,127
132,124
133,123
140,123
141,124
149,124
150,125
158,125
159,126
165,126
166,127
173,127
174,128
181,128
182,129
189,129
190,130
195,130
196,131
203,131
204,132
211,132
212,133
217,133
218,134
222,134
223,135
226,135
227,136
227,149
226,150
226,159
227,160
227,163
228,164
228,165
233,170
234,170
235,171
236,171
237,172
239,172
240,173
253,173
254,174
256,174
257,175
266,175
267,174
268,174
269,173
270,173
273,170
273,169
274,168
274,166
275,165
275,160
276,159
276,154
277,153
277,149
278,148
278,144
279,143
279,132
278,131
279,130
279,121
280,120
280,117
281,116
281,110
282,109
282,107
281,106
281,105
279,105
278,104
277,105
275,105
273,107
273,113
272,114
272,117
271,118
271,124
270,125
270,127
268,129
265,129
264,128
259,128
258,127
253,127
252,126
245,126
244,125
234,125
233,126
232,126
231,127
226,127
225,126
221,126
220,125
215,125
214,124
207,124
206,123
199,123
198,122
193,122
192,121
185,121
184,120
178,120
177,119
169,119
168,118
162,118
161,117
153,117
152,116
144,116
143,115
137,115
136,114
132,114
130,112
130,111
129,110
124,110
123,109
115,109
114,108
101,108
100,107
100,99
101,98
101,84
100,83
100,82
98,82
